print bank names,2022/05/06 18:17:11
print bank names,2022/05/06 18:17:14
print bank names,2022/05/06 18:17:14
print bank names,2022/05/06 18:17:14
print bank names,2022/05/06 18:17:15
print bank names,2022/05/06 18:23:59
print bank names,2022/05/06 18:24:00
print bank names,2022/05/06 18:24:01
print bank names,2022/05/06 18:24:02
print bank names,2022/05/06 18:24:03
print bank names,2022/05/06 18:24:12
print bank names,2022/05/06 18:24:12
print bank names,2022/05/06 18:24:13
print bank names,2022/05/06 18:24:14
startup,2022/05/06 18:25:47
print bank names,2022/05/06 18:25:49
print bank names,2022/05/06 18:25:53
exit main menu,2022/05/06 18:26:01
startup,2022/05/06 22:10:23
startup,2022/05/06 22:10:47
startup,2022/05/06 22:11:03
print bank names,2022/05/06 22:11:07
exit main menu,2022/05/06 22:11:08
startup,2022/05/06 22:11:22
startup,2022/05/06 22:12:01
exit main menu,2022/05/06 22:12:05
startup,2022/05/06 22:12:23
print bank names,2022/05/06 22:12:26
exit main menu,2022/05/06 22:13:05
startup,2022/05/06 22:13:15
exit main menu,2022/05/06 22:13:40
startup,2022/05/06 22:13:44
exit main menu,2022/05/06 22:16:52
startup,2022/05/06 22:16:55
startup,2022/05/06 22:31:50
startup,2022/05/06 22:33:10
startup,2022/05/06 22:33:26
startup,2022/05/06 22:34:45
startup,2022/05/06 22:35:03
startup,2022/05/06 22:35:23
startup,2022/05/06 22:35:48
startup,2022/05/06 22:35:56
startup,2022/05/06 22:36:16
startup,2022/05/06 22:36:26
startup,2022/05/06 22:37:21
startup,2022/05/06 22:37:29
startup,2022/05/06 22:37:55
exit main menu,2022/05/06 22:38:07
startup,2022/05/06 22:38:10
print bank names,2022/05/06 22:38:11
startup,2022/05/06 22:39:18
print bank names,2022/05/06 22:39:20
enter bank menu,2022/05/06 22:39:32
print all bank accounts,2022/05/06 22:39:34
create bank account,2022/05/06 22:39:37
exit bank menu,2022/05/06 22:40:06
exit main menu,2022/05/06 22:40:09
startup,2022/05/06 22:40:15
startup,2022/05/06 22:44:55
print bank names,2022/05/06 22:44:58
enter bank menu,2022/05/06 22:45:01
print all bank accounts,2022/05/06 22:45:02
print all bank accounts,2022/05/06 22:45:06
print bank account info,2022/05/06 22:45:13
create bank account,2022/05/06 22:45:26
exit bank menu,2022/05/06 22:45:50
exit main menu,2022/05/06 22:45:51
startup,2022/05/06 22:46:01
print bank names,2022/05/06 22:46:03
enter bank menu,2022/05/06 22:46:06
print all bank accounts,2022/05/06 22:46:07
create bank account,2022/05/06 22:46:09
exit bank menu,2022/05/06 22:46:29
exit main menu,2022/05/06 22:46:32
startup,2022/05/06 22:46:38
print bank names,2022/05/06 22:46:40
enter bank menu,2022/05/06 22:46:44
print all bank accounts,2022/05/06 22:46:45
print bank account info,2022/05/06 22:46:49
exit bank menu,2022/05/06 22:46:53
enter bank menu,2022/05/06 22:47:51
print all bank accounts,2022/05/06 22:47:52
create bank account,2022/05/06 22:48:06
bind card to account,2022/05/06 22:48:41
startup,2022/05/06 22:49:24
print bank names,2022/05/06 22:49:26
print bank names,2022/05/06 22:49:57
enter bank menu,2022/05/06 22:50:02
print all bank accounts,2022/05/06 22:50:04
create bank account,2022/05/06 22:50:06
bind card to account,2022/05/06 22:50:35
print all bank accounts,2022/05/06 22:51:14
print bank account info,2022/05/06 22:51:22
exit bank menu,2022/05/06 22:51:51
exit main menu,2022/05/06 22:51:53
startup,2022/05/06 22:52:11
print bank names,2022/05/06 22:52:13
enter bank menu,2022/05/06 22:52:20
print all bank accounts,2022/05/06 22:52:21
print bank account info,2022/05/06 22:52:26
print bank account info,2022/05/06 22:52:31
exit bank menu,2022/05/06 22:52:43
enter bank menu,2022/05/06 22:52:48
print all bank accounts,2022/05/06 22:52:49
exit bank menu,2022/05/06 22:53:00
print bank names,2022/05/06 22:53:02
exit main menu,2022/05/06 22:53:05
startup,2022/05/06 22:53:11
print bank names,2022/05/06 22:53:12
enter bank menu,2022/05/06 22:53:17
print all bank accounts,2022/05/06 22:53:18
print bank account info,2022/05/06 22:53:25
exit bank menu,2022/05/06 22:55:12
exit main menu,2022/05/06 22:55:15
